bf,HR,BV,UB
,6073,0.97,
Delta2 Aps,6021,1.41,1.62
,6080,-0.07,-0.22
19 Omicron Sco,6081,0.84,0.62
20 Sigma Sco,6084,0.13,-0.7
,6126,1.12,1.11
20 Gamma Her,6095,0.27,0.18
50 Sigma Ser,6093,0.34,0.04
19 Xi CrB,6103,0.97,0.8
20 Nu1CrB,6107,1.6,1.94
,6083,-0.04,-0.23
,6085,1.16,0.83
21 Nu2CrB,6108,1.53,1.88
,6096,0.07,-0.02
,6110,0.08,0.11
,6130,0.96,
,6097,0.01,-0.02
14 Eta Dra,6132,0.91,0.7
,6094,0.62,0.15
4 Psi Oph,6104,1.01,0.82
21 Her,6111,-0.01,0.01
,6127,0,0.01
,6100,-0.11,-0.4
,6105,0.59,0.11
,6106,0.59,0.13
,6099,0.19,
,6089,0.03,
25 Her,6123,0.17,0.09
24 Omega Her,6117,0,-0.04
5 Rho Oph,6113,,
5 Rho Oph,6112,0.24,-0.55
,6173,0.26,0.05
,6119,,
,6121,1.03,
,6124,0.92,0.61
7 Chi Oph,6118,0.28,-0.75
Epsilon Nor,6115,-0.07,-0.53
,6128,1.72,2.07
3 Upsilon Oph,6129,0.17,0.08
Iota TrA,6109,0.36,-0.02
15 Dra,6161,-0.06,-0.12
,6122,1.1,
,6114,0,
Zeta TrA,6098,0.55,0.04
,6136,1.46,1.8
30 Her,6146,1.52,1.17
,6150,1.05,
,6137,0.4,0.02
21 Alpha Sco,6134,1.83,1.34
,6131,0.56,-0.44
,6120,1.48,
,6140,0.82,
34 Her,6156,0.03,0
22 Sco,6141,-0.11,-0.72
27 Beta Her,6148,0.94,0.69
,6144,0.37,0.2
,6152,1.29,1.22
,6191,1,0.71
,6125,1.23,
10 Lambda Oph,6149,0.01,0.01
,6157,1.64,1.89
8 Phi Oph,6147,0.92,0.72
,6154,1.61,
,6145,1.08,
,6143,-0.16,-0.8
,6180,1.32,1.29
,6142,0.33,-0.77
,6162,0.12,0.13
9 Omega Oph,6153,0.13,0.13
,6170,0.02,0.05
28 Her,6158,-0.06,-0.18
29 Her,6159,1.49,1.83
Gamma Aps,6102,0.91,0.62
Mu Nor,6155,0.05,-0.94
35 Sigma Her,6168,-0.01,-0.1
,6135,1.22,1.24
,6160,1.34,
,6169,0.05,0
Theta TrA,6151,0.93,0.73
23 Tau Sco,6165,-0.25,-1.03
,6183,1.04,0.88
16 Dra,6184,-0.07,-0.15
17 Dra,6185,-0.04,-0.15
17 Dra,6186,-0.06,-0.16
12 Oph,6171,0.82,0.48
,6166,1.57,1.94
,6164,0.4,-0.63
,6176,-0.11,-0.18
,6198,1.53,
13 Zeta Oph,6175,0.02,-0.86
,6181,0.41,0.02
,6238,1.14,1.2
,6199,1.08,0.9
,6179,0.16,0.13
,6174,-0.02,-0.59
42 Her,6200,1.55,1.76
,6167,-0.08,-0.39
,6178,0,-0.12
,6189,0.48,-0.07
,6190,1.08,
36 Her,6194,0.13,0.12
37 Her,6195,-0.02,-0.03
,6177,0.48,
,6203,0.05,0.03
18 Dra,6223,1.22,1.26
,6208,1.31,
,6201,0.3,0.07
40 Zeta Her,6212,0.65,0.21
,6187,0.13,-0.8
Eta1 TrA,6172,-0.08,-0.42
,6196,1.11,0.87
,6193,0.2,0.06
39 Her,6213,0.4,-0.07
,6188,-0.03,-0.87
14 Oph,6205,0.32,0.07
,6192,0.65,0.24
,6202,0.43,
44 Eta Her,6220,0.92,0.6
,6226,0.07,0.11
,6197,0.85,0.59
Beta Aps,6163,1.06,0.95
,6267,0.42,-0.05
,6182,0.02,0.02
,6211,-0.08,
,6206,0.14,0.17
,6210,-0.06,
,6222,0.29,0.06
,6209,-0.07,-0.52
,6216,0.1,
,6207,1.26,
,6214,-0.12,-0.63
,6218,0.09,
,6230,1.4,
,6237,0.38,-0.06
,6227,1.66,
16 Oph,6224,-0.02,-0.14
43 Her,6228,1.53,1.94
,6138,1.57,
22 Epsilon UMi,6322,0.89,0.55
,6215,-0.09,
,6204,-0.08,-0.45
,6221,0.98,
25 Sco,6225,1.18,
19 Oph,6232,0.14,0.14
,6219,-0.08,-1
,6242,1.61,
45 Her,6234,-0.02,-0.02
,6239,0.87,
,6235,0.2,
Alpha TrA,6217,1.44,1.56
52 Her,6254,0.09,0.04
,6240,,
,6246,0.03,-0.02
,6256,1.26,1.31
Eta Ara,6229,1.57,1.94
20 Oph,6243,0.47,0.07
26 Epsilon Sco,6241,1.15,1.27
47 Her,6250,0.1,0.11
,6248,0.42,-0.05
,6236,0.31,0.07
,6264,1.08,
50 Her,6258,1.6,1.92
,6259,1.01,0.78
,6244,0.12,-0.14
21 Oph,6255,0.05,0.03
,6245,0.07,-0.84
51 Her,6270,1.25,1.29
Mu1 Sco,6247,-0.2,-0.87
,6233,-0.02,-0.28
49 Her,6268,-0.05,-0.07
,6231,1.28,1.51
,6249,0.23,-0.65
Mu2 Sco,6252,-0.21,-0.85
53 Her,6279,0.29,-0.02
,6286,1.32,1.44
,6269,0.68,
,6257,1.73,
,6261,0.5,-0.45
Zeta1 Sco,6262,0.49,-0.56
25 Iota Oph,6281,-0.08,-0.32
,6251,1.59,1.92
,6260,0.19,-0.72
,6277,0.28,0.11
,6263,0.2,-0.74
,6265,0.21,-0.54
,6266,0.64,0.22
Zeta2 Sco,6271,1.37,1.65
23 Oph,6280,1.08,1.06
,6273,0.21,0.17
,6278,0.14,
,6287,0.97,0.71
,6272,0.15,-0.75
56 Her,6292,0.92,0.62
,6290,0.34,0.06
54 Her,6293,1.41,1.66
,6253,0.05,
,6282,1.71,2.06
19 Dra,6315,0.48,-0.03
,6284,0.92,0.68
,6306,1.62,1.98
,6274,-0.02,
,6335,0.24,0.11
20 Dra,6319,0.38,0.02
,6275,-0.08,
,6283,0.26,-0.67
24 Oph,6291,-0.02,
,6294,0.07,-0.3
27 Sco,6288,1.59,
,6296,1,0.76
57 Her,6305,0.9,0.55
,6301,0.94,0.7
27 Kappa Oph,6299,1.15,1.18
,6307,1.1,0.95
,6313,1.28,1.41
,6289,0.02,
Zeta Ara,6285,1.6,1.97
,6302,0.4,0.01
,6298,0.19,0.11
,6345,,
,6330,1.16,
,6276,-0.1,-0.44
Epsilon1 Ara,6295,1.45,1.71
,6308,1.62,1.96
,6297,0.19,0.1
26 Oph,6310,0.41,
58 Epsilon Her,6324,-0.01,-0.1
,6300,0.88,
,6317,0.23,0.09
,6303,1.8,
,6311,1.16,
,6325,1.33,
,6139,0.05,0.02
30 Oph,6318,1.48,1.83
,6328,0.41,-0.08
,6348,1,0.82
,6326,0.04,0.04
59 Her,6332,0.02,0.02
,6379,,
,6312,0.27,
,6304,-0.03,
29 Oph,6321,1.38,1.26
,6316,-0.1,-0.35
,6329,0.09,0.06
,6360,0.96,0.71
,6336,1.13,
,6333,1.02,0.79
,6337,1.6,1.92
Epsilon2 Ara,6314,0.48,
,6339,0.76,0.45
61 Her,6346,,
,6341,0,-0.04
,6323,,
,6327,0.38,-0.02
,6343,1.52,
,6351,0.22,
,6342,1.03,0.84
,6320,-0.1,-0.56
,6352,-0.01,-0.09
,6340,-0.02,
,6334,0.26,-0.68
,6363,1.09,1
,6362,0.09,0.16
,6331,0.07,0.1
,6349,0.58,0.06
21 Mu Dra,6370,0.48,0.05
21 Mu Dra,6369,,
60 Her,6355,0.12,0.05
,6353,0.16,-0.64
,6338,0.28,0.02
,6358,1.45,1.73
,6350,0.13,
,6359,0.87,0.57
,6364,1.3,1.52
,6344,0.07,0.1
,6347,0.5,-0.53
,6361,0.2,0.1
,6354,-0.04,-0.24
,6376,0.03,0.04
,6377,0.31,0.05
,6367,0.08,0.04
,6365,1.01,
,6383,0,-0.13
22 Zeta Dra,6396,-0.12,-0.43
,6366,0.25,0.33
,6372,0.69,0.36
,6388,1.28,1.39
,6375,0.52,0.02
,6356,-0.04,
35 Eta Oph,6378,0.06,0.09
,6395,0,-0.18
,6371,0.86,0.58
,6385,0.08,0.09
63 Her,6391,0.23,
,6374,1.84,1.85
,6399,,
,6390,1.04,0.86
Eta Sco,6380,0.41,0.09
,6386,-0.04,
,6381,0.04,
,6382,1.05,
,6357,1.06,1.04
,6387,-0.04,
37 Oph,6393,1.59,1.64
,6421,0.21,0.06
,6394,0.5,0.05
,6389,0.07,-0.77
,6368,1.06,0.9
,6384,1.78,1.34
,6392,2.21,1.35
64 Alpha1 Her,6406,1.44,1.01
64 Alpha2 Her,6407,,
65 Delta Her,6410,0.08,0.08
67 Pi Her,6418,1.44,1.66
,6397,-0.01,-0.91
,6404,1.1,
36 Oph,6402,0.85,0.53
36 Oph,6401,0.86,0.53
,6398,0.58,0.11
,6419,1.31,
,6403,-0.03,-0.09
,6133,0.91,0.56
,6412,0.22,0.16
,6405,0.48,-0.02
,6448,1.09,
,6414,0.06,-0.45
,6373,-0.01,0
41 Oph,6415,1.14,1.13
,6413,1.1,0.97
,6437,,
Lambda UMi,7394,1.57,1.79
,6409,0.5,0.05
68 Her,6431,-0.17,-0.76
,6430,,
69 Her,6436,0.05,-0.03
39 Omicron Oph,6425,0.51,0.05
39 Omicron Oph,6424,1.1,0.9
,6432,0.01,0.02
,6428,1.66,2.05
,6422,0.15,-0.36
,6444,1,0.81
,6433,1.55,1.89
,6420,-0.05,-0.13
,6443,0.98,
,6434,0.39,0.15
,6426,1.04,0.82
,6416,0.8,0.38
,6408,1.37,
,6427,0.2,0.01
,6423,0.41,
,6529,1.5,1.8
,6435,0.04,
,6439,0.85,0.47
,6455,0.03,0.1
,6400,0.6,0.15
,6452,1.62,2.06
74 Her,6464,1.57,1.86
,6467,0.43,-0.08
,6441,0.58,
72 Her,6458,0.62,0.07
53 Nu Ser,6446,0.03,0.05
,6449,0.33,0.01
70 Her,6457,-0.03,0.02
40 Xi Oph,6445,0.39,-0.05
,6466,0.7,
,6463,1.61,1.98
,6469,0.68,0.21
,6479,1.47,
Zeta Aps,6417,1.21,1.27
42 Theta Oph,6453,-0.22,-0.86
Iota Aps,6411,-0.04,-0.23
,6454,0.54,
,6450,0.64,-0.32
,6465,0.68,0.24
,6456,1.08,
,6438,1.07,0.86
,6442,1,0.77
Iota Ara,6451,-0.11,-0.82
43 Oph,6459,1.55,1.8
75 Rho Her,6484,,
75 Rho Her,6485,-0.03,-0.05
,6476,1.25,1.27
,6440,-0.14,-0.76
,6488,0.73,0.21
73 Her,6480,0.21,0.05
,6460,-0.06,-0.4
,6447,-0.08,
,6491,0.88,0.53
,6481,0.07,0.12
,6482,-0.02,-0.18
,6473,0.03,-0.13
,6472,0.93,0.67
,6518,0.76,0.29
,6470,0.02,
,6474,1.1,
Beta Ara,6461,1.46,1.56
Gamma Ara,6462,-0.13,-0.96
,6511,0.03,0.01
,6495,1.62,
,6489,0.46,-0.02
Kappa Ara,6468,1.06,
,6499,0.1,0.12
,6514,0.14,0.09
,6497,0.58,0.28
44 Oph,6486,0.28,0.12
49 Sigma Oph,6498,1.5,1.62
,6493,0.39,-0.03
77 Her,6509,0.12,0.15
,6506,-0.01,-0.06
,6502,-0.13,-0.56
,6477,-0.07,-0.34
,6490,-0.06,
,6475,-0.03,
,6496,0.51,
,6478,0.08,
45 Oph,6492,0.4,0.09
,6494,0,
,6483,1.17,
,6504,0.58,0.16
,6471,-0.09,
,6487,1.11,
,6507,0.22,0.11
,6501,1.11,
,6503,0.09,
,6512,0.93,0.67
,6521,0.06,0.01
,6516,0.72,0.31
23 Beta Dra,6536,0.98,0.64
,6531,0.49,0.22
,6540,,
76 Lambda Her,6526,1.44,1.68
34 Upsilon Sco,6508,-0.22,-0.82
24 UMi,6811,0.25,0.07
,6528,0.95,
Delta Ara,6500,-0.1,-0.31
,6524,0.84,0.58
,6505,-0.08,
51 Oph,6519,0,-0.06
,6429,1.67,1.81
,6520,-0.06,-0.37
,6517,1.19,
,6513,0.83,
78 Her,6533,0,-0.05
Alpha Ara,6510,-0.17,-0.69
27 Dra,6566,1.08,0.92
,6538,0.65,0.17
24 Nu1Dra,6554,0.26,0.04
23 Delta UMi,6789,0.02,0.03
,6532,-0.01,-0.2
25 Nu2Dra,6555,0.28,0.06
,6522,0.35,
,6550,1.09,0.96
,6523,0.06,-0.17
,6541,0.48,-0.02
,6534,0.18,0.09
,6560,0.59,0.37
35 Lambda Sco,6527,-0.22,-0.89
,6542,1.01,0.82
,6543,1.6,1.58
,6551,,
53 Oph,6548,0.02,-0.01
,6535,0.04,-0.86
,6544,0.02,-0.17
55 Alpha Oph,6556,0.15,0.1
26 Dra,6573,0.61,0.1
52 Oph,6545,0.01,-0.18
,6530,0.02,
,6525,-0.08,-0.46
1 Sigma Ara,6537,-0.03,-0.09
,6563,0.98,0.82
,6539,0.01,
,6559,0.19,0.17
,6564,,
,6546,1.09,0.9
,6570,0.16,0.09
82 Her,6574,1.15,1.06
,6598,0.58,0.09
28 Omega Dra,6596,0.43,-0.01
,6606,1.01,
Theta Sco,6553,0.4,0.22
,6557,1.25,
,6547,1.1,
79 Her,6571,0.11,0.07
55 Xi Ser,6561,0.26,0.14
,6562,0.37,
57 Mu Oph,6567,0.11,-0.2
Pi Ara,6549,0.2,0.08
,6558,-0.06,-0.26
,6568,1.23,
,6579,,
,6577,0.56,
,6575,1.03,0.83
85 Iota Her,6588,-0.18,-0.69
,6584,1.58,1.98
,6578,1.67,1.89
Lambda Ara,6569,0.4,-0.04
,6605,0.92,0.58
,6599,,
,6591,1.05,0.88
,6592,1.2,1.18
,6589,0.03,0.02
,6572,-0.01,-0.06
,6607,1.05,
56 Omicron Ser,6581,0.08,0.1
,6590,1.26,1.18
31 Psi1 Dra,6636,0.42,0.01
31 Psi1 Dra,6637,0.53,0.02
,6594,0.38,-0.05
,6576,1.76,1.89
83 Her,6602,1.46,1.69
Kappa Sco,6580,-0.22,-0.89
,6583,1.55,
,6612,1.54,1.84
,6587,1.81,2
,6593,0.47,
84 Her,6608,0.65,0.27
,6604,0.42,0.18
58 Oph,6595,0.47,-0.03
60 Beta Oph,6603,1.16,1.24
,6601,0.38,-0.48
,6600,0.37,-0.07
,6618,0.01,0.05
Mu Ara,6585,0.7,0.24
,6611,0.21,0.2
,6565,0.48,-0.04
61 Oph,6609,0.07,-0.01
,6610,,
,6597,0.16,0.09
,6586,0.9,
,6619,0,-0.22
Eta Pav,6582,1.19,1.17
,6625,1,0.68
,6626,1.39,1.46
86 Mu Her,6623,0.75,0.39
,6613,-0.02,
,6627,0.01,0
,6641,0.11,0.06
3 Sgr,6616,0.8,0.5
Iota1 Sco,6615,0.51,0.27
,6620,0.05,-0.32
,6617,1.49,
62 Gamma Oph,6629,0.04,0.04
,6633,0.16,-0.02
,6638,0.94,0.71
,6621,0.12,-0.42
,6614,0.28,
,6642,0.02,-0.09
87 Her,6644,1.16,1.12
30 Dra,6656,0.02,0.01
,6628,-0.04,-0.29
,6639,1.24,1.26
35 Dra,6701,0.49,0.08
,6630,1.17,1.19
88 Her,6664,-0.11,-0.41
,6717,1.44,
Iota2 Sco,6631,0.26,0
,6654,1.05,
,6622,-0.08,-0.64
,6650,1.25,1.26
,6655,,
,6632,0,
,6645,0.04,-0.07
,6669,,
,6643,1.59,1.83
,6624,1,
,6640,0.95,
,6665,,
,6659,1.12,0.89
,6674,1.09,0.77
,6673,1.33,1.49
,6647,-0.1,-0.64
,6648,1.13,
,6667,1.58,1.92
,6661,1.4,1.01
,6651,1.23,
,6649,0.54,
,6652,0.02,-0.07
,6653,0.34,0.09
,6666,1.11,
,6670,0.42,-0.01
90 Her,6677,1.18,1.12
,6634,1.08,1
,6657,-0.03,-0.35
,6658,1.14,1.01
32 Xi Dra,6688,1.18,1.21
,6660,0,-0.06
,6662,-0.01,-0.1
,6663,0.01,-0.06
,6676,0.45,
,6735,0.98,
,6668,-0.01,-0.1
,6672,0.04,-0.89
,6671,0.08,
34 Psi2 Dra,6725,0.3,0.15
,6699,0.32,0.08
89 Her,6685,0.34,0.27
,6687,1.24,
,6679,0.05,0.05
91 Theta Her,6695,1.35,1.46
,6684,0.09,-0.65
,6681,0.05,
33 Gamma Dra,6705,1.52,1.87
,6680,0.21,
,6675,1.21,1.22
,6686,1.16,1.06
,6702,1.64,1.52
,6678,1.43,1.65
,6690,0,-0.25
,6689,0.1,0.12
,6697,0.63,
,6696,0.11,0.08
,6635,1.2,1.28
92 Xi Her,6703,0.94,0.7
,6682,1.65,1.97
,6683,0.01,
94 Nu Her,6707,0.39,0.15
,6692,-0.08,-0.56
,6711,0.94,
,6718,-0.08,-0.22
,6691,0.9,
64 Nu Oph,6698,0.99,0.88
,6693,1.77,1.95
,6694,1.06,0.8
,6706,1.56,1.92
4 Sgr,6700,-0.04,-0.05
,6728,1.57,1.91
,6704,1.4,
93 Her,6713,1.26,1.22
40 Dra,6809,0.51,-0.01
41 Dra,6810,0.5,-0.01
,6709,0.15,0.18
66 Oph,6712,-0.03,-0.83
,6720,-0.06,-0.39
57 Zeta Ser,6710,0.38,0
,6726,1.51,
67 Oph,6714,0.02,-0.62
,6719,-0.08,-0.75
,6722,0.69,0.24
6 Sgr,6715,1.8,
95 Her,6729,0.95,0.57
95 Her,6730,0.12,0.13
,6552,0.44,0.02
,6737,1.55,
68 Oph,6723,0.02,0
,6708,-0.03,-0.33
,6716,0,-0.89
96 Her,6738,-0.09,-0.61
97 Her,6741,-0.1,-0.64
,6732,0.16,-0.1
7 Sgr,6724,0.52,0.26
,6727,-0.05,-0.87
69 Tau Oph,6734,0.38,0.04
69 Tau Oph,6733,,
,6753,0.03,0.06
,6744,0.01,-0.01
9 Sgr,6736,0,-0.89
,6747,0,-0.91
,6754,0.3,0.03
,6764,0.46,0.02
,6739,1.16,
,6767,0.26,0.04
Gamma1 Sgr,6742,0.78,0.52
,6646,1.5,1.75
70 Oph,6752,0.86,0.54
,6763,1.23,
,6758,0.3,0.12
10 Gamma2 Sgr,6746,1,0.77
,6768,1.16,1.08
98 Her,6765,1.58,1.93
,6755,0.21,-0.2
,6757,1.06,0.76
,6756,0.96,0.81
,6748,0.62,0.07
Theta Ara,6743,-0.08,-0.85
,6749,0.22,0.16
,6750,,
,6790,1.04,0.96
99 Her,6775,0.52,-0.09
,6792,,
,6762,0.12,-0.78
71 Oph,6770,0.96,0.74
72 Oph,6771,0.12,0.1
,6791,0.91,0.71
103 Omicron Her,6779,-0.03,-0.07
,6740,1.26,1.41
,6769,1.11,1.08
,6776,0.07,0.09
100 Her,6781,0.12,0.08
100 Her,6782,0.14,0.08
,6793,1.17,1.21
,6766,0.94,0.74
,6759,-0.08,-0.49
,6784,0.17,0.23
Pi Pav,6745,0.22,0.18
102 Her,6787,-0.16,-0.81
101 Her,6794,0.15,0.18
,6773,0.02,-0.47
,6799,1.19,1.22
,6772,-0.03,-0.86
73 Oph,6795,0.37,0.03
,6806,0.87,0.59
,6785,1.42,
,6797,0.47,-0.01
,6760,1.55,
,6807,0.91,
,6777,1.02,
,6780,0.97,0.7
,6803,,
Iota Pav,6761,0.58,0.09
,6817,0.94,0.72
,6800,1.19,1.22
,6788,-0.14,-0.86
,6778,1.2,1.45
,6786,0.29,0.07
,6827,0,-0.06
Epsilon Tel,6783,1.01,0.78
,6798,0.16,
,6731,1.24,1.43
11 Sgr,6801,1.05,0.9
,6814,0.01,0.11
104 Her,6815,1.65,1.94
,6802,-0.01,
,6751,0.46,0.05
,6824,1.03,0.98
,6826,-0.08,-0.22
,6813,0.27,0.14
,6804,-0.17,
,6820,1.47,1.72
13 Mu Sgr,6812,0.23,-0.49
36 Dra,6850,0.38,-0.04
14 Sgr,6816,1.52,1.69
,6796,1.41,
,6774,-0.03,-0.36
,6849,0.34,0.02
,6831,0.54,0.01
15 Sgr,6822,0.07,-0.86
16 Sgr,6823,0.02,-0.87
37 Dra,6865,1.06,
,6825,0.2,-0.34
,6847,0.62,0.12
,6845,-0.1,-0.46
,6805,0.92,
,6818,0.96,0.72
,6830,0.2,0.17
,6834,1.59,1.56
,6840,0.89,0.54
,6821,-0.06,
,6844,0.31,0.05
,6853,0.99,0.7
,6819,-0.05,-0.69
,6838,1.58,1.7
,6836,0.54,0
,6835,0.18,
,6843,0.38,0.27
,6841,0.11,-0.84
,6833,-0.11,-0.6
Eta Sgr,6832,1.56,1.71
,6808,-0.04,-0.23
,6851,-0.03,-0.51
,6842,1.66,1.81
,6852,0.03,-0.1
,6854,,
,6839,-0.11,-0.99
,6846,1.34,1.4
,6848,0.31,-0.65
,6857,1.07,1.06
105 Her,6860,1.53,1.74
,6828,0.58,0.07
1 Kappa Lyr,6872,1.17,1.19
,6867,1.29,
,6880,1.1,1.08
,6858,1.47,1.64
106 Her,6868,1.59,1.99
43 Phi Dra,6920,-0.1,-0.33
74 Oph,6866,0.91,0.62
,6856,1.31,
108 Her,6876,0.21,0.03
19 Delta Sgr,6859,1.38,1.55
107 Her,6877,0.2,0.15
44 Chi Dra,6927,0.49,-0.06
,6886,1.07,
58 Eta Ser,6869,0.94,0.66
,6863,0.94,0.62
,6873,-0.04,-0.62
,6861,1.84,2.03
,6891,1.66,1.94
,6864,0.26,0.26
,6882,1.6,
,6862,1.49,
,6883,0.04,0.08
,6885,1.27,1.32
,6870,-0.14,
,6878,0.14,
,6887,1.2,
,6881,0.01,-0.26
Xi Pav,6855,1.48,1.55
,6874,1.02,
Phi Oct,6829,0.02,0.04
Zeta Sct,6884,0.95,0.72
109 Her,6895,1.18,1.17
,6911,0.16,0.14
39 Dra,6923,0.08,0.04
,6901,,
,6890,0.34,-0.01
,7025,0.05,0.06
20 Epsilon Sgr,6879,-0.03,-0.13
2 Mu Lyr,6903,0.03,0.08
,6875,-0.19,-0.7
,6892,1.16,1.09
,6898,0.37,0.15
,6904,0.05,0.02
18 Sgr,6888,1.14,
,6900,0.02,-0.21
21 Sgr,6896,1.31,0.92
,6889,1,
,6871,0.2,
,6902,0.92,0.45
,6893,-0.08,-0.51
,6906,0.01,-0.31
,6917,0.06,0.09
42 Dra,6945,1.19,1.11
,6924,-0.11,-0.58
,6894,0.84,
Alpha Tel,6897,-0.17,-0.64
59 Ser,6918,0.5,0.21
,6949,,
,6909,0.26,
,6907,0.52,
,6925,1.62,1.84
,6919,0.01,-0.3
22 Lambda Sgr,6913,1.04,0.89
,6928,-0.03,-0.35
,6914,0.16,
,6910,0.13,
Zeta Tel,6905,1.02,0.82
,6926,0.11,
Gamma Sct,6930,0.06,0.06
,6915,0.9,
,6921,-0.02,
,6837,1.16,1.27
,6929,0.07,-0.68
,6943,-0.1,-0.51
60 Ser,6935,0.96,0.76
,7006,1.18,
,6932,-0.04,-0.14
,6922,1.26,
,6908,0.98,
,6941,0.11,-0.51
,6933,1.06,
,6940,0.95,0.65
,6950,0.79,0.4
,6931,0.14,
,6955,0.04,0.07
,6936,0.16,0.07
,6979,0.3,
Nu Pav,6916,-0.11,-0.39
,6946,0.24,-0.45
,6944,0,
Delta1 Tel,6934,-0.11,-0.42
,6947,1.13,0.69
,6937,1.34,
61 Ser,6957,0.16,0.16
Delta2 Tel,6938,-0.14,-0.56
,6958,-0.04,-0.26
,6974,-0.07,-0.18
,6956,0.22,
,6942,0.08,
45 Dra,6978,0.61,0.44
,6959,1.97,2.17
,6966,1.46,
,6968,-0.1,-0.34
,6899,0.98,0.83
,6948,0.42,
,6963,0.02,-0.04
Kappa2 CrA,6953,-0.06,
,6971,-0.12,-0.51
Kappa1 CrA,6952,,
,6967,-0.03,-0.34
,6939,0.68,0.18
Theta CrA,6951,1.01,0.76
,6962,0.04,
24 Sgr,6961,1.79,
,6983,1.09,0.96
,6960,-0.11,-0.69
,6975,0.11,0.07
,6954,1.25,
25 Sgr,6965,0.54,0.46
,6976,0.08,0.05
,6970,0.92,0.6
Alpha Sct,6973,1.33,1.54
,6977,0,-0.1
,6984,-0.11,-0.55
,6969,0.28,
,6980,1,0.83
,6981,0.53,0.01
,6972,1.27,
,7013,0.28,0.09
,6985,0.37,-0.02
,6997,-0.1,-0.5
,6987,0.37,-0.04
,7003,0.24,0.09
3 Alpha Lyr,7001,0,-0.01
,6995,0.9,0.56
,6992,-0.02,-0.22
,7018,-0.06,-0.17
,6993,0.07,0.06
,6988,0.19,
,6989,0.21,-0.19
,7009,1.65,1.42
,7000,0.42,0.01
,7002,1.32,0.89
,6999,0.55,0.06
,6990,0.02,-0.41
,6998,0.68,0.14
,6986,0.23,
,7017,-0.06,-0.17
,6991,1.68,1.95
,7008,0.78,0.42
,7010,0.96,0.69
,7028,-0.07,-0.21
,7007,1.55,1.83
,7016,,
,7019,0.21,0.14
,7042,0.98,
,7005,1.22,
,7030,-0.04,-0.2
,7014,0.81,
26 Sgr,7011,0.23,
,7033,-0.13,-0.57
,6912,-0.13,-0.37
Delta Sct,7020,0.35,0.14
,6996,0.15,0.14
,7024,1,0.89
46 Dra,7049,-0.09,-0.3
,7023,1.75,1.56
Zeta Pav,6982,1.14,1.02
,7082,,
,7041,1.59,2
,7060,0.12,
Epsilon Sct,7032,1.12,0.87
,7043,1.04,
,7004,0.96,0.77
Lambda CrA,7021,0.09,
,7034,0.48,0.02
,7044,0.34,0.05
,7026,0.98,
,7075,0.96,0.73
,7029,-0.18,-0.72
4 Epsilon1 Lyr,7052,,
4 Epsilon1 Lyr,7051,0.16,0.06
5 Epsilon2 Lyr,7053,0.19,0.08
5 Epsilon2 Lyr,7054,,
,7047,0.4,0
6 Zeta1 Lyr,7056,0.19,0.16
7 Zeta2 Lyr,7057,0.28,0.06
,7035,0.05,-0.35
4 Aql,7040,-0.06,-0.26
,7071,0.82,
,7031,0.87,0.37
,7015,1.46,
,7038,0.45,
,7022,1.38,
,7012,0.2,0.08
,7048,0.04,0.03
,7058,0.02,-0.08
,7160,0.28,0.04
27 Phi Sgr,7039,-0.11,-0.36
110 Her,7061,0.46,0.01
,7117,0.92,0.8
,7045,1.65,
,7064,1.2,1.23
,7073,-0.13,-0.49
28 Sgr,7046,1.64,1.9
50 Dra,7124,0.05,0.04
5 Aql,7059,0.13,0.12
,7067,1.59,
,7084,-0.09,-0.73
,7055,0.59,0.54
,7080,0.07,0.17
,7037,0.28,
111 Her,7069,0.13,0.07
Beta Sct,7063,1.1,0.81
,7066,1.47,1.64
,7090,,
Mu CrA,7050,0.78,
,6994,0.6,0.13
,7081,-0.13,-0.66
,7076,1.51,1.79
,7096,0.21,0.08
,7079,0.49,0.02
Theta Pav,7036,0.24,0.11
,7072,,
Eta1 CrA,7062,0.13,
,7086,0.03,0.02
,7091,,
,7070,1.08,
,7065,0.9,0.51
Eta2 CrA,7068,-0.08,
,7077,0.2,0.15
,7085,0.04,0.01
29 Sgr,7078,1.41,
,7083,1.6,1.65
,7027,0,-0.09
,7098,0.02,-0.1
8 Nu1 Lyr,7100,-0.16,-0.71
9 Nu2 Lyr,7102,0.08,0.11
10 Beta Lyr,7106,0,-0.56
,7089,3.09,4.04
,7099,,
30 Sgr,7088,0.38,0.29
,7094,0.61,0.35
47 Omicron Dra,7125,1.19,1.04
8 Aql,7101,0.3,0.09
,7123,0.84,0.51
,7112,1.18,
,7115,-0.11,-0.48
,6964,1.26,1.3
,7109,0,-0.31
,7118,-0.09,-0.31
Lambda Pav,7074,-0.14,-0.89
112 Her,7113,-0.07,-0.42
,7092,1.63,
,7103,0.94,
,7104,1.35,
Kappa Tel,7087,0.94,
,7105,-0.05,-0.27
,7097,0.03,0.05
,7110,0.2,0.11
,7095,0.14,0.08
,7093,-0.09,
,7137,0.9,0.57
,7199,,
11 Delta1 Lyr,7131,-0.15,-0.66
,7153,1.23,
33 Sgr,7114,1.23,1.05
32 Nu1Sgr,7116,1.41,1.23
,7132,1.35,
,7138,,
52 Upsilon Dra,7180,1.15,1.1
12 Delta2 Lyr,7139,1.68,1.65
,7108,0.08,
,7119,0.17,-0.39
113 Her,7133,0.78,0.49
